"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
933830,"2026-08-27 13:32:43",10,1729,41,90.15,3696.15,"cash"
667436,"2026-08-27 13:32:43",15,1207,36,56.26,2025.36,"debit_card"
107735,"2026-08-27 13:32:43",17,3388,24,293.9,7053.6,"credit_card"
156618,"2026-08-27 13:32:43",4,6321,26,264.12,6867.12,"credit_card"
800316,"2026-08-27 13:32:43",19,1031,16,282.84,4525.44,"credit_card"
978646,"2026-08-27 13:32:43",10,9545,33,219.24,7234.92,"cash"
761788,"2026-08-27 13:32:43",16,2222,34,275.78,9376.52,"cash"
415032,"2026-08-27 13:32:43",14,3532,9,8.72,78.48,"online"
803402,"2026-08-27 13:32:43",19,7046,13,292.74,3805.62,"mobile_pay"
779736,"2026-08-27 13:32:43",10,1456,25,5.55,138.75,"mobile_pay"
551035,"2026-08-27 13:32:43",10,4110,18,130.25,2344.5,"credit_card"
171554,"2026-08-27 13:32:43",13,5506,17,125.89,2140.13,"debit_card"
403239,"2026-08-27 13:32:43",18,9454,37,181.12,6701.44,"credit_card"
920234,"2026-08-27 13:32:43",15,9052,5,64.51,322.55,"debit_card"
381314,"2026-08-27 13:32:43",13,9400,43,219.42,9435.06,"mobile_pay"
