"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
376906,"2026-08-27 13:32:45",10,3611,2,271.33,542.66,"mobile_pay"
291191,"2026-08-27 13:32:45",19,6665,13,209.82,2727.66,"debit_card"
386507,"2026-08-27 13:32:45",5,2195,30,29.92,897.6,"credit_card"
546049,"2026-08-27 13:32:45",18,2659,15,250.08,3751.2,"mobile_pay"
388012,"2026-08-27 13:32:45",2,3998,48,276.83,13287.84,"debit_card"
281882,"2026-08-27 13:32:45",11,5685,33,152.93,5046.69,"cash"
584692,"2026-08-27 13:32:45",2,3216,36,14.05,505.8,"cash"
426971,"2026-08-27 13:32:45",13,7055,9,73.04,657.36,"debit_card"
467306,"2026-08-27 13:32:45",16,3158,34,29.39,999.26,"cash"
679560,"2026-08-27 13:32:45",2,6567,32,78.21,2502.72,"online"
139260,"2026-08-27 13:32:45",11,9982,46,85.96,3954.16,"cash"
901025,"2026-08-27 13:32:45",20,5610,14,76.53,1071.42,"debit_card"
252315,"2026-08-27 13:32:45",6,3173,14,292.26,4091.64,"credit_card"
181836,"2026-08-27 13:32:45",15,1955,27,283.64,7658.28,"mobile_pay"
228961,"2026-08-27 13:32:45",18,1997,7,81.32,569.24,"debit_card"
