"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
541105,"2026-08-27 13:32:47",11,8812,46,221.12,10171.52,"credit_card"
371624,"2026-08-27 13:32:47",13,1639,16,171.36,2741.76,"online"
688895,"2026-08-27 13:32:47",1,7735,5,84.84,424.2,"cash"
221678,"2026-08-27 13:32:47",16,2093,41,46.18,1893.38,"online"
461408,"2026-08-27 13:32:47",8,9864,9,85.01,765.09,"online"
412081,"2026-08-27 13:32:47",13,2328,42,218.61,9181.62,"credit_card"
751018,"2026-08-27 13:32:47",7,8693,37,286.24,10590.88,"online"
130983,"2026-08-27 13:32:47",6,9783,13,152.23,1978.99,"credit_card"
774585,"2026-08-27 13:32:47",16,4231,31,209.91,6507.21,"online"
227254,"2026-08-27 13:32:47",17,2965,13,90.41,1175.33,"online"
117928,"2026-08-27 13:32:47",3,3402,35,178.5,6247.5,"cash"
340719,"2026-08-27 13:32:47",18,3969,29,92.12,2671.48,"cash"
427851,"2026-08-27 13:32:47",9,1336,38,37.57,1427.66,"debit_card"
187100,"2026-08-27 13:32:47",1,2818,13,182.32,2370.16,"credit_card"
967083,"2026-08-27 13:32:47",20,2803,50,241.76,12088.0,"debit_card"
