"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
352625,"2026-08-27 13:32:51",4,8943,47,149.77,7039.19,"debit_card"
592152,"2026-08-27 13:32:51",13,4806,23,61.65,1417.95,"cash"
821971,"2026-08-27 13:32:51",8,8585,8,143.14,1145.12,"online"
531054,"2026-08-27 13:32:51",9,3313,39,154.2,6013.8,"credit_card"
194010,"2026-08-27 13:32:51",1,4417,15,80.48,1207.2,"online"
715355,"2026-08-27 13:32:51",20,6937,32,147.8,4729.6,"credit_card"
553905,"2026-08-27 13:32:51",10,4316,42,222.92,9362.64,"debit_card"
834005,"2026-08-27 13:32:51",11,1451,30,257.96,7738.8,"online"
926497,"2026-08-27 13:32:51",9,8775,25,65.97,1649.25,"online"
254899,"2026-08-27 13:32:51",12,2476,41,205.64,8431.24,"credit_card"
774559,"2026-08-27 13:32:51",9,1922,42,207.04,8695.68,"credit_card"
706211,"2026-08-27 13:32:51",16,6540,49,279.21,13681.29,"online"
263325,"2026-08-27 13:32:51",20,6842,20,240.63,4812.6,"online"
406926,"2026-08-27 13:32:51",20,1696,29,153.35,4447.15,"mobile_pay"
318249,"2026-08-27 13:32:51",10,6542,47,283.55,13326.85,"debit_card"
