"transaction_id","timestamp","store_id","product_id","quantity","unit_price","total_amount","payment_method"
369422,"2026-08-27 13:32:50",12,2869,9,229.69,2067.21,"cash"
773614,"2026-08-27 13:32:50",2,8714,28,290.29,8128.12,"debit_card"
751835,"2026-08-27 13:32:50",19,9142,48,226.95,10893.6,"debit_card"
562488,"2026-08-27 13:32:50",13,9566,47,38.94,1830.18,"cash"
841737,"2026-08-27 13:32:50",19,3411,5,49.52,247.6,"credit_card"
496508,"2026-08-27 13:32:50",9,7474,48,125.58,6027.84,"credit_card"
323864,"2026-08-27 13:32:50",1,1244,40,97.69,3907.6,"online"
734759,"2026-08-27 13:32:50",4,6166,19,23.33,443.27,"credit_card"
916976,"2026-08-27 13:32:50",9,4554,24,62.02,1488.48,"online"
829194,"2026-08-27 13:32:50",1,2016,35,12.57,439.95,"credit_card"
832680,"2026-08-27 13:32:50",17,3815,42,216.7,9101.4,"debit_card"
700487,"2026-08-27 13:32:50",8,1126,24,205.48,4931.52,"online"
968450,"2026-08-27 13:32:50",10,6429,21,136.94,2875.74,"online"
475164,"2026-08-27 13:32:50",12,1036,26,194.94,5068.44,"online"
127744,"2026-08-27 13:32:50",9,7448,33,286.46,9453.18,"cash"
